[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     1021    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      393    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       36    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        3    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      620    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       13    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        2    0.000    0.000    0.000    0.000 npyio.py:1034(read_data)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       16    0.000    0.000    0.000    0.000 arrayprint.py:945(__call__)
      403    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      140    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      154    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
       99    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       23    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       48    0.000    0.000    0.000    0.000 enum.py:525(__new__)
      440    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      240    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      329    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
       10    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      203    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      131    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
        5    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        9    0.000    0.000    0.000    0.000 abc.py:130(register)
      146    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
       36    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
       36    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
    25/20    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
       16    0.000    0.000    0.000    0.000 arrayprint.py:916(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
      433    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        8    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 _datasource.py:518(exists)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
        1    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
    23/10    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
