yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      490    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
      286    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      361    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       21    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      143    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:815(__and__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
      236    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
     1094    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
